Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Resource_Type,CapRes_1,CapRes_2,CapRes_3,ESR_1,ESR_2,region,cluster,VRE_Trans_Cost_per_MWyr,CCS_Rate,MGA
ERC_WEST_nuclear_nuclear_moderate_0,2,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,315589.1738,0,0,144972.332,0,0,2.351778656,0,10.455,west_south_central_reference_uranium,1000,1000,0,24,24,0.25,0.25,1,0.3,0,1,1,0,0,0.041666667,0.083333333,0,0,Nuclear_Nuclear_Moderate,0,0.93,0,0,1,ERC_WEST,0,0,0,1
ERC_WEST_utilitypv_class1_moderate_0_2_1,2,0,0,0,0,0,1,0,1,1,0,0,0,2367420.922,-1,-1,0,0,0,35360.53058,0,0,15390.48615,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,UtilityPV_Class1_Moderate_0.2,0,0.8,0,1,1,ERC_WEST,1,7554.176076,0,1
ERC_WEST_utilitypv_class1_moderate_0_2_2,2,0,0,0,0,0,1,0,1,1,0,0,0,2040755.643,-1,-1,0,0,0,35360.53058,0,0,15390.48615,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,UtilityPV_Class1_Moderate_0.2,0,0.8,0,1,1,ERC_WEST,2,16007.82003,0,1
ERC_WEST_landbasedwind_class4_moderate_1,2,0,0,0,0,0,1,0,1,1,0,0,0,229446.5126,-1,-1,0,0,0,57918.29494,0,0,34568.125,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,LandbasedWind_Class4_Moderate_,0,0.8,0,1,1,ERC_WEST,1,10793.36736,0,1
ERC_PHDL_naturalgas_ccccsavgcf_conservative_0,3,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,156233.436,0,0,65100,0,0,5.73,0,7.159,west_south_central_reference_naturalgas_ccs90,377,97,0.2,4,4,0.64,0.64,1,0.5,0,1,1,0,0,0.106666667,0.213333333,0,0,NaturalGas_CCCCSAvgCF_Conservative,0,0,0.93,0,0,ERC_PHDL,0,0,0.9,1
ERC_PHDL_naturalgas_ccavgcf_moderate_0,3,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,77420.77113,0,0,27300,0,0,1.74,0,6.363,west_south_central_reference_naturalgas,573,61,0.2,4,4,1,1,1,0.3,0,1,1,0,0,0.106666667,0.213333333,0,0,NaturalGas_CCAvgCF_Moderate,0,0,0.93,0,0,ERC_PHDL,0,0,0,1
ERC_PHDL_naturalgas_ctavgcf_moderate_0,3,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,64024.30701,0,0,20900,0,0,4.94,0,9.717,west_south_central_reference_naturalgas,237,140,0.19,0,0,1,1,1,0.25,0,1,1,0,0,0.63,1.26,0,0,NaturalGas_CTAvgCF_Moderate,0,0,0.93,0,0,ERC_PHDL,0,0,0,1
ERC_PHDL_battery_moderate_0,3,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,17257.91339,10515.67011,0,4633.55,2823.34,0,0,0.15,0,None,1,0,0,0,0,1,1,1,0,0,0.92,0.92,1,10,0,0,0,0,Battery_*_Moderate,0,0,0.95,0,0,ERC_PHDL,0,0,0,0
ERC_PHDL_nuclear_nuclear_moderate_0,3,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,315589.1738,0,0,144972.332,0,0,2.351778656,0,10.455,west_south_central_reference_uranium,1000,1000,0,24,24,0.25,0.25,1,0.3,0,1,1,0,0,0.041666667,0.083333333,0,0,Nuclear_Nuclear_Moderate,0,0,0.93,0,1,ERC_PHDL,0,0,0,1
ERC_PHDL_utilitypv_class1_moderate_0_2_1,3,0,0,0,0,0,1,0,1,1,0,0,0,380534.1792,-1,-1,0,0,0,35360.53058,0,0,15390.48615,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,UtilityPV_Class1_Moderate_0.2,0,0,0.8,1,1,ERC_PHDL,1,7113.928889,0,1
ERC_PHDL_utilitypv_class1_moderate_0_2_2,3,0,0,0,0,0,1,0,1,1,0,0,0,286143.6181,-1,-1,0,0,0,35360.53058,0,0,15390.48615,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,UtilityPV_Class1_Moderate_0.2,0,0,0.8,1,1,ERC_PHDL,2,12444.4175,0,1
ERC_PHDL_landbasedwind_class4_moderate_1,3,0,0,0,0,0,1,0,1,1,0,0,0,33590.14901,-1,-1,0,0,0,57918.29494,0,0,34568.125,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,LandbasedWind_Class4_Moderate_,0,0,0.8,1,1,ERC_PHDL,1,9062.727844,0,1
